show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2128,TV Show,3%,,João Miguel_ Bianca Comparato_ Michel Gomes_ Rodolfo Valente_ Vaneza Oliveira_ Rafael Lozano_ Viviane Porto_ Mel Fronckowiak_ Sergio Mamberti_ Zezé Motta_ Celso Frateschi,Brazil,14-Aug-20,2020,TV-MA,4 Seasons,International TV Shows_ TV Dramas_ TV Sci-Fi & Fantasy,In a future where the elite inhabit an island paradise far from the crowded slums_ you get one chance to join the 3% saved from squalor.
s5657,Movie,7:19,Jorge Michel Grau,Demián Bichir_ Héctor Bonilla_ Oscar Serrano_ Azalia Ortiz_ Octavio Michel_ Carmen Beato,Mexico,23-Dec-16,2016,TV-MA,93 min,Dramas_ International Movies,After a devastating earthquake hits Mexico City_ trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.
s4278,Movie,23:59,Gilbert Chan,Tedd Chan_ Stella Chung_ Henley Hii_ Lawrence Koh_ Tommy Kuan_ Josh Lai_ Mark Lee_ Susan Leong_ Benjamin Lim,Singapore,20-Dec-18,2011,R,78 min,Horror Movies_ International Movies,When an army recruit is found dead_ his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.
s5959,Movie,9,Shane Acker,Elijah Wood_ John C. Reilly_ Jennifer Connelly_ Christopher Plummer_ Crispin Glover_ Martin Landau_ Fred Tatasciore_ Alan Oppenheimer_ Tom Kane,United States,16-Nov-17,2009,PG-13,80 min,Action & Adventure_ Independent Movies_ Sci-Fi & Fantasy,In a postapocalyptic world_ rag-doll robots hide in fear from dangerous machines out to exterminate them_ until a brave newcomer joins the group.
s5960,Movie,21,Robert Luketic,Jim Sturgess_ Kevin Spacey_ Kate Bosworth_ Aaron Yoo_ Liza Lapira_ Jacob Pitts_ Laurence Fishburne_ Jack McGee_ Josh Gad_ Sam Golzari_ Helen Carey_ Jack Gilpin,United States,1-Jan-20,2008,PG-13,123 min,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
s5389,TV Show,46,Serdar Akar,Erdal Beşikçioğlu_ Yasemin Allen_ Melis Birkan_ Saygın Soysal_ Berkan Şal_ Metin Belgin_ Ayça Eren_ Selin Uludoğan_ Özay Fecht_ Suna Yıldızoğlu,Turkey,1-Jul-17,2016,TV-MA,1 Season,International TV Shows_ TV Dramas_ TV Mysteries,A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures_ but unlocks a shocking side effect.
s2444,Movie,122,Yasir Al Yasiri,Amina Khalil_ Ahmed Dawood_ Tarek Lotfy_ Ahmed El Fishawy_ Mahmoud Hijazi_ Jihane Khalil_ Asmaa Galal_ Tara Emad,Egypt,1-Jun-20,2019,TV-MA,95 min,Horror Movies_ International Movies,After an awful accident_ a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.
s5961,Movie,187,Kevin Reynolds,Samuel L. Jackson_ John Heard_ Kelly Rowan_ Clifton Collins Jr._ Tony Plana,United States,1-Nov-19,1997,R,119 min,Dramas,After one of his high school students attacks him_ dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there_ thinking it must be a less hostile environment.
s859,Movie,678,Mohamed Diab,Maged El-Kidwani_ Bassem Samra_ Ahmed El Fishawy_ Nelly Kariem_ Boshra_ Nahed El Sebaï_ Marwa Mehran_ Sawsan Badr_ Omar El Saeed_ Moataz Al-Demerdash,,20-May-21,2009,TV-14,99 min,Dramas_ Independent Movies_ International Movies,This film sheds light on sexual harassment in Egypt_ following the lives of three women from different social classes who have been subjected to it.
s5962,Movie,706,Shravan Kumar,Divya Dutta_ Atul Kulkarni_ Mohan Agashe_ Anupam Shyam_ Raayo S. Bakhirta_ Yashvit Sancheti_ Greeva Kansara_ Archan Trivedi_ Rajiv Pathak,India,1-Apr-19,2019,TV-14,118 min,Horror Movies_ International Movies,When a doctor goes missing_ his psychiatrist wife treats the bizarre medical condition of a psychic patient_ who knows much more than he's leading on.
